N,P,K,temperature,humidity,ph,rainfall,label
89.27,18.52,53.34,28.66,93.08,6.47,23.92,muskmelon
92.42,11.91,51.74,25.62,88.43,6.76,40.87,watermelon
34.5,67.8,46.95,35.49,94.93,6.88,240.88,papaya
55.94,45.71,45.15,24.85,91.26,6.43,142.36,papaya
16.63,141.85,202.99,23.78,93.04,5.75,123.1,apple
20.16,32.72,27.49,30.57,48.34,4.56,73.64,mango
26.51,140.16,197.52,21.3,94.17,6.26,108.23,apple
0.41,52.9,22.06,28.98,64.75,5.5,40.3,mothbeans
27.16,58.29,24.97,29.16,82.87,6.88,41.23,mungbean
21.49,71.93,21.83,25.54,62.66,6.04,58.67,lentil
38.32,64.86,23.67,27.44,69.67,7.44,67.48,blackgram
37.77,20.27,32.16,28.81,92.63,5.57,140.17,coconut
35.54,9.94,38.15,21.58,94.41,6.05,120.85,pomegranate
71.87,49.07,37.49,26.27,72.21,7.24,180.14,jute
24.54,15.3,31.54,29.98,99.38,5.51,219.69,coconut
38.21,8.6,38.24,19.29,90.77,6.15,121.03,pomegranate
17.32,125.76,204.04,20.79,90.13,5.52,115.56,apple
65.01,52.14,19.3,19.6,64.83,5.6,89.1,maize
61.72,59.47,51.47,42.47,92.14,6.33,245.22,papaya
90.34,15.86,54.08,27.71,94.54,6.31,29.76,muskmelon
111.44,19.23,26.09,26.75,56.1,7.43,185.72,coffee
65.44,66.19,47.11,35.73,90.36,6.84,76.65,papaya
8.65,6.74,10.7,28.91,90.55,7.26,111.11,orange
57.14,68.85,50.11,42.1,94.84,6.85,105.05,papaya
39.51,57.74,83.22,18.82,19.07,5.79,84.53,chickpea
78.95,53.89,43.8,26.86,76.49,7.2,160.53,jute
25.51,55.5,15.42,28.49,86.89,6.25,47.69,mungbean
24.17,25.42,12.61,16.56,91.23,7.45,100.16,orange
39.98,63.17,22.48,33.33,64.32,7.49,116.56,pigeonpeas
95.04,50.16,35.09,20.71,82.65,5.51,200.65,rice
31.32,11.64,39.85,23.45,88.82,6.44,121.93,pomegranate
10.95,47.2,15.82,27.68,47.66,8.76,27.56,mothbeans
73.68,43.38,44.86,25.09,72.81,6.33,174.1,jute
14.67,57.65,21.28,19.46,69.86,6.78,56.71,lentil
62.08,35.95,39.3,23.25,85.78,6.79,151.45,jute
45.04,56.88,16.12,25.49,62.57,6.2,67.6,blackgram
81.54,38.65,40.53,25.59,77.8,6.75,193.78,jute
23.72,69.71,82.21,19.57,14.39,7.24,87.46,chickpea
30.19,76.02,75.58,20.61,16.77,7.41,91.37,chickpea
48.41,62.86,19.71,23.22,21.21,5.68,104.48,kidneybeans
64.12,50.49,45.65,38.25,91.06,6.39,53.47,papaya
17.65,16.63,33.25,28.39,54.03,6.66,78.58,mango
58.48,67.72,19.53,27.79,69.59,6.21,70.8,blackgram
91.19,37.67,22.61,22.33,74.26,6.01,91.63,maize
